Country,MtCO₂,Longitude,Latitude
China,11902.50,104.1954,35.8617
USA,4911.39,-95.7129,37.0902
India,3062.32,78.9629,20.5937
Russia,1815.92,105.3188,61.524
Japan,988.78,138.2529,36.2048
Iran,817.88,53.688,32.4279
Saudi Arabia,736.21,45.0792,23.8859
Indonesia,733.22,113.9213,-0.7893
Germany,596.15,10.4515,51.1657
South Korea,577.42,127.7669,35.9078
Canada,549.30,-106.3468,56.1304
Brazil,486.47,-51.9253,-14.235
Mexico,482.62,-102.5528,23.6345
Turkey,432.08,35.2433,38.9637
South Africa,401.89,22.9375,-30.5595
Australia,382.97,133.7751,-25.2744
Vietnam,334.73,108.2772,14.0583
Italy,313.46,12.5674,41.8719
England,305.15,-3.436,55.3781
Poland,289.28,19.1451,51.9194
