Year,Anomaly
1959,0.07
1960,0.07
1961,0.01
1962,0.07
1963,0.05
1964,0.06
1965,-0.17
1966,-0.08
1967,-0.03
1968,0.00
1969,-0.04
1970,0.12
1971,0.04
1972,-0.07
1973,0.10
1974,0.17
1975,-0.04
1976,0.01
1977,-0.03
1978,0.19
1979,0.11
1980,0.22
1981,0.32
1982,0.32
1983,0.21
1984,0.33
1985,0.19
1986,0.16
1987,0.23
1988,0.36
1989,0.37
1990,0.31
1991,0.45
1992,0.42
1993,0.23
1994,0.26
1995,0.35
1996,0.46
1997,0.35
1998,0.52
1999,0.62
2000,0.40
2001,0.42
2002,0.57
2003,0.63
2004,0.62
2005,0.57
2006,0.68
2007,0.68
2008,0.59
2009,0.58
2010,0.68
2011,0.72
2012,0.61
2013,0.67
2014,0.68
2015,0.76
2016,0.95
2017,1.02
2018,0.92
2019,0.88
2020,1.00
2021,0.99
2022,0.87
2023,0.89
